T:3.150875e+00 E:4.592554e+03 P:4.501429e+01 r2:9.925791e-02
T:3.152555e+00 E:4.592540e+03 P:4.499852e+01 r2:9.977436e-02
T:3.154998e+00 E:4.592574e+03 P:4.497752e+01 r2:1.002898e-01
T:3.158231e+00 E:4.592583e+03 P:4.495111e+01 r2:1.008044e-01
T:3.162256e+00 E:4.592579e+03 P:4.491904e+01 r2:1.013181e-01
T:3.167045e+00 E:4.592569e+03 P:4.488218e+01 r2:1.018309e-01
T:3.172536e+00 E:4.592522e+03 P:4.483991e+01 r2:1.023430e-01
T:3.178637e+00 E:4.592518e+03 P:4.479354e+01 r2:1.028544e-01
T:3.185222e+00 E:4.592521e+03 P:4.474354e+01 r2:1.033653e-01
T:3.192141e+00 E:4.592489e+03 P:4.469202e+01 r2:1.038757e-01
T:3.199224e+00 E:4.592448e+03 P:4.463942e+01 r2:1.043856e-01
T:3.206290e+00 E:4.592416e+03 P:4.458733e+01 r2:1.048953e-01
T:3.213151e+00 E:4.592388e+03 P:4.453683e+01 r2:1.054048e-01
T:3.219629e+00 E:4.592386e+03 P:4.448829e+01 r2:1.059142e-01
T:3.225557e+00 E:4.592357e+03 P:4.444407e+01 r2:1.064236e-01
T:3.230787e+00 E:4.592321e+03 P:4.440533e+01 r2:1.069330e-01
T:3.235200e+00 E:4.592285e+03 P:4.437313e+01 r2:1.074424e-01
T:3.238708e+00 E:4.592262e+03 P:4.434668e+01 r2:1.079520e-01
T:3.241256e+00 E:4.592250e+03 P:4.432662e+01 r2:1.084617e-01
T:3.242829e+00 E:4.592265e+03 P:4.431294e+01 r2:1.089716e-01
T:3.243444e+00 E:4.592312e+03 P:4.430658e+01 r2:1.094815e-01
T:3.243151e+00 E:4.592313e+03 P:4.430682e+01 r2:1.099915e-01
T:3.242029e+00 E:4.592332e+03 P:4.431315e+01 r2:1.105014e-01
T:3.240179e+00 E:4.592354e+03 P:4.432511e+01 r2:1.110113e-01
T:3.237715e+00 E:4.592344e+03 P:4.434216e+01 r2:1.115211e-01
T:3.234758e+00 E:4.592390e+03 P:4.436307e+01 r2:1.120306e-01
T:3.231431e+00 E:4.592400e+03 P:4.438656e+01 r2:1.125397e-01
T:3.227852e+00 E:4.592420e+03 P:4.441133e+01 r2:1.130484e-01
T:3.224132e+00 E:4.592441e+03 P:4.443808e+01 r2:1.135565e-01
T:3.220371e+00 E:4.592480e+03 P:4.446570e+01 r2:1.140639e-01
T:3.216659e+00 E:4.592489e+03 P:4.449338e+01 r2:1.145706e-01
T:3.213076e+00 E:4.592477e+03 P:4.452112e+01 r2:1.150764e-01
T:3.209688e+00 E:4.592488e+03 P:4.454781e+01 r2:1.155812e-01
T:3.206552e+00 E:4.592497e+03 P:4.457234e+01 r2:1.160850e-01
T:3.203709e+00 E:4.592486e+03 P:4.459590e+01 r2:1.165876e-01
T:3.201188e+00 E:4.592466e+03 P:4.461678e+01 r2:1.170890e-01
T:3.199009e+00 E:4.592467e+03 P:4.463458e+01 r2:1.175891e-01
T:3.197180e+00 E:4.592496e+03 P:4.464980e+01 r2:1.180878e-01
