Output dataset from model "HMT"
0.5
m h j xKr xKs xto1 yto1 Ki Cai CaNSR CaJSR pc1 po1 po2 pc2 c0 c1 c2 c3 c4 cCa0 cCa1 cCa2 cCa3 cCa4 open yL LTRPNCa HTRPNCa Cass V z_b 
0.602647 0.019288 0.0179194 0.0165969 0.0152232 0.0137424 0.0121201 0.0102905 0.00813608 0.282685 3.13875e-05 8.04367e-05 2.64316e-05 9.16195e-05 1.20424e-07 2.60854e-05 6.76524e-05 5.19469e-05 0.00010161 1.52275e-07 2.04507e-07 3.04915e-07 3.32694e-05 7.92898e-05 0.00011494 4.491e-05 0.000111138 1.70079e-07 2.65129e-07 2.90318e-08 4.5857e-10 3.83086e-07
0.587454 0.0189007 0.0176439 0.0164318 0.0151677 0.0137958 0.0122812 0.0105578 0.00850802 0.297907 3.23053e-05 8.15101e-05 2.74097e-05 9.197e-05 1.22375e-07 2.70675e-05 6.88831e-05 5.20694e-05 0.000101233 1.52859e-07 2.08889e-07 3.06162e-07 3.38916e-05 7.98034e-05 0.000114436 4.51215e-05 0.000110026 1.69436e-07 2.66827e-07 2.98442e-08 4.61261e-10 3.81399e-07
0.572519 0.018513 0.0173627 0.0162567 0.0150993 0.0138349 0.0124282 0.0108131 0.0088724 0.312951 3.31875e-05 8.24906e-05 2.83582e-05 9.22257e-05 1.24188e-07 2.80205e-05 7.00362e-05 5.21357e-05 0.000100771 1.53285e-07 2.13037e-07 3.07089e-07 3.44756e-05 8.0236e-05 0.000113828 4.52852e-05 0.000108848 1.68652e-07 2.68254e-07 3.06221e-08 4.63479e-10 3.7937e-07
0.557853 0.0181259 0.0170772 0.0160732 0.0150194 0.0138608 0.012562 0.0110569 0.00922893 0.327795 3.40349e-05 8.33839e-05 2.92771e-05 9.23947e-05 1.25871e-07 2.89443e-05 7.11155e-05 5.21509e-05 0.000100233 1.53568e-07 2.16958e-07 3.07725e-07 3.50232e-05 8.05937e-05 0.000113129 4.5405e-05 0.000107614 1.67741e-07 2.69431e-07 3.13662e-08 4.65261e-10 3.77036e-07
0.543468 0.0177405 0.0167885 0.0158825 0.0149294 0.0138748 0.0126834 0.0112895 0.00957736 0.342422 3.48481e-05 8.41954e-05 3.01665e-05 9.24844e-05 1.2743e-07 2.98388e-05 7.21245e-05 5.21195e-05 9.96277e-05 1.5372e-07 2.20664e-07 3.08092e-07 3.55363e-05 8.08826e-05 0.000112349 4.54844e-05 0.000106332 1.66717e-07 2.70379e-07 3.20774e-08 4.66642e-10 3.74431e-07
0.529374 0.0173574 0.0164977 0.0156858 0.0148305 0.013878 0.0127932 0.0115113 0.0099176 0.356815 3.56284e-05 8.49301e-05 3.10272e-05 9.25018e-05 1.28873e-07 3.07049e-05 7.30676e-05 5.20453e-05 9.89629e-05 1.53752e-07 2.24165e-07 3.08214e-07 3.60168e-05 8.11087e-05 0.000111495 4.55269e-05 0.00010501 1.65594e-07 2.71118e-07 3.27576e-08 4.67655e-10 3.71583e-07
0.515577 0.016978 0.0162059 0.0154844 0.0147237 0.0138711 0.0128921 0.0117224 0.0102492 0.370961 3.63754e-05 8.55925e-05 3.18572e-05 9.24532e-05 1.30203e-07 3.15406e-05 7.3945e-05 5.19339e-05 9.82462e-05 1.53676e-07 2.27459e-07 3.08114e-07 3.64649e-05 8.12745e-05 0.000110582 4.55357e-05 0.000103657 1.64386e-07 2.71656e-07 3.34046e-08 4.68325e-10 3.68539e-07
0.502083 0.0166019 0.0159139 0.0152791 0.0146102 0.0138554 0.0129809 0.0119237 0.0105726 0.384849 3.70921e-05 8.61884e-05 3.26606e-05 9.23456e-05 1.31433e-07 3.235e-05 7.47655e-05 5.17869e-05 9.74846e-05 1.53501e-07 2.30576e-07 3.07812e-07 3.68848e-05 8.13898e-05 0.00010961 4.5514e-05 0.000102278 1.63102e-07 2.72024e-07 3.40245e-08 4.68694e-10 3.653e-07
0.4889 0.0162307 0.0156223 0.0150707 0.0144905 0.0138313 0.0130601 0.0121151 0.0108872 0.398468 3.77774e-05 8.67205e-05 3.34345e-05 9.21829e-05 1.32562e-07 3.313e-05 7.5527e-05 5.16088e-05 9.66828e-05 1.53235e-07 2.33503e-07 3.07324e-07 3.72755e-05 8.1454e-05 0.000108592 4.54638e-05 0.000100878 1.61751e-07 2.72223e-07 3.46138e-08 4.68774e-10 3.61908e-07
0.476028 0.0158646 0.0153321 0.0148603 0.0143658 0.0137998 0.0131303 0.012297 0.0111931 0.411812 3.84326e-05 8.71936e-05 3.41799e-05 9.19713e-05 1.33597e-07 3.38817e-05 7.62334e-05 5.14033e-05 9.58476e-05 1.52888e-07 2.36252e-07 3.06671e-07 3.76389e-05 8.14725e-05 0.000107535 4.53881e-05 9.94649e-05 1.60346e-07 2.7227e-07 3.51738e-08 4.68601e-10 3.58388e-07
0.463468 0.0155039 0.0150439 0.0146484 0.0142369 0.0137618 0.0131923 0.0124699 0.0114904 0.424874 3.90589e-05 8.76117e-05 3.48978e-05 9.17157e-05 1.34544e-07 3.46058e-05 7.68883e-05 5.11731e-05 9.49842e-05 1.52469e-07 2.38834e-07 3.05869e-07 3.79765e-05 8.14496e-05 0.000106444 4.52895e-05 9.80427e-05 1.58894e-07 2.72179e-07 3.57063e-08 4.68226e-10 3.54761e-07
0.451221 0.0151491 0.014758 0.0144358 0.0141043 0.0137177 0.0132465 0.0126341 0.0117791 0.437652 3.96572e-05 8.79785e-05 3.55887e-05 9.14205e-05 1.35409e-07 3.53031e-05 7.74944e-05 5.09207e-05 9.40969e-05 1.51986e-07 2.41257e-07 3.04936e-07 3.829e-05 8.13891e-05 0.000105325 4.51699e-05 9.66157e-05 1.57407e-07 2.71963e-07 3.62123e-08 4.67783e-10 3.51053e-07
0.439287 0.0148004 0.014475 0.014223 0.0139687 0.0136683 0.0132935 0.01279 0.0120593 0.45014 4.02285e-05 8.82974e-05 3.62534e-05 9.10896e-05 1.36197e-07 3.59742e-05 7.80544e-05 5.06485e-05 9.319e-05 1.51449e-07 2.4353e-07 3.03901e-07 3.85805e-05 8.12942e-05 0.000104183 4.50316e-05 9.51876e-05 1.55898e-07 2.71635e-07 3.6693e-08 4.67802e-10 3.47315e-07
0.427665 0.0144579 0.0141953 0.0140106 0.0138308 0.013614 0.0133338 0.0129378 0.0123311 0.462337 4.07739e-05 8.85718e-05 3.68925e-05 9.0727e-05 1.36913e-07 3.66199e-05 7.85711e-05 5.03589e-05 9.22679e-05 1.50891e-07 2.45663e-07 3.02838e-07 3.88495e-05 8.11684e-05 0.000103023 4.48766e-05 9.37625e-05 1.54406e-07 2.71212e-07 3.71495e-08 4.7077e-10 3.43675e-07
